id;url;Perfume;Brand;Country;Gender;RatingValue;RatingCount;releaseYear;PerfumeTop;PerfumeMiddle;PerfumeBase;Perfumer1;Perfumer2;MainAccord1;MainAccord2;MainAccord3;MainAccord4;MainAccord5;caminho_imagem_local;Perfumes-seletos;Longevidade;Sillage;Genero;Genero_Voto;Preco_Voto;Imagem_URL
17159;https://www.fragrantica.com/perfume/dior/fahrenheit-cologne-34582.html;fahrenheit-cologne;dior;France;men;412;824;20150.0;calabrian bergamot, sicilian mandarin, lemon;french violet, patchouli;haitian vetiver, nutmeg, virginian cedar, caraway;fran�ois demachy;;citrus;woody;violet;aromatic;fresh spicy;downloaded_images\17159_fahrenheit_cologne.jpg;dior;Moderate;Moderate;Masculino;;;
17160;https://www.fragrantica.com/perfume/dior/fahrenheit-summer-229.html;fahrenheit-summer;dior;France;men;412;81;20020.0;mandarin orange, grapefruit;violet, freesia, sandalwood;cedar, amber, patchouli;bertrand duchaufour;;woody;citrus;powdery;floral;violet;downloaded_images\17160_fahrenheit_summer.jpg;dior;Long Lasting;Moderate;Masculino;;;
17161;https://www.fragrantica.com/perfume/dior/la-colle-noire-38153.html;la-colle-noire;dior;France;unisex;412;476;20160.0;lemon;may rose, spices, peony, lily-of-the-valley, black currant, raspberry, peach;white musk, sandalwood, amber, heliotrope, agarwood (oud);fran�ois demachy;;rose;floral;powdery;fresh;musky;downloaded_images\17161_la_colle_noire.jpg;dior;Moderate;Moderate;Unissex;;;
17165;https://www.fragrantica.com/perfume/giorgio-armani/emporio-armani-for-her-2008-2694.html;emporio-armani-for-her-2008;giorgio-armani;Italy;women;412;251;20080.0;bergamot, pear, pineapple, mandarin orange;iris, jasmine, heliotrope, violet;vanilla, musk, cedar;unknown;;powdery;vanilla;violet;sweet;musky;downloaded_images\17165_emporio_armani_for_her_2008.jpg;giorgio-armani;Moderate;Moderate;Feminino;;;
17166;https://www.fragrantica.com/perfume/giorgio-armani/rouge-malachite-limited-edition-l-or-de-russie-47404.html;rouge-malachite-limited-edition-l-or-de-russie;giorgio-armani;Italy;unisex;412;153;20170.0;tuberose, pink pepper, clary sage;tuberose, orange blossom, ylang-ylang, jasmine sambac, cashmeran, benzoin;tuberose, amber;pascal gaurin;;white floral;tuberose;amber;animalic;woody;downloaded_images\17166_rouge_malachite_limited_edition_l_or_de_.jpg;giorgio-armani;Long Lasting;Moderate;Unissex;;;
17188;https://www.fragrantica.com/perfume/lattafa-perfumes/oud-salama-37050.html;oud-salama;lattafa-perfumes;UAE;unisex;412;26;;fruity notes;amber, white musk, leather;agarwood (oud), woody notes;unknown;;fruity;oud;woody;amber;sweet;downloaded_images\17188_oud_salama.jpg;lattafa-perfumes;Moderate;Strong;Unissex;;;
17189;https://www.fragrantica.com/perfume/lattafa-perfumes/sheikh-shuyukh-final-edition-78548.html;sheikh-shuyukh-final-edition;lattafa-perfumes;UAE;men;412;343;20220.0;lemongrass, sage, lavender, lemon;leather, cardamom, rose, rosemary, mimosa;musk, amber, cedar, vanilla, oakmoss;unknown;;aromatic;citrus;fresh spicy;herbal;lavender;downloaded_images\17189_sheikh_shuyukh_final_edition.jpg;lattafa-perfumes;Moderate;Moderate;Masculino;;;
17197;https://www.fragrantica.com/perfume/maison-alhambra/fabulo-intense-79938.html;fabulo-intense;maison-alhambra;UAE;unisex;412;572;;lavender, clary sage;bitter almond, vanilla, orris root;leather, white woods, tonka bean, cashmeran, amber;unknown;;woody;almond;leather;amber;vanilla;downloaded_images\17197_fabulo_intense.jpg;maison-alhambra;Long Lasting;Strong;Unissex;;;
17201;https://www.fragrantica.com/perfume/natura/gotas-de-amora-26064.html;gotas-de-amora;natura;Brazil;unisex;412;50;;raspberry, blackberry;floral notes;woody notes, musk;unknown;;fruity;sweet;floral;woody;musky;downloaded_images\17201_gotas_de_amora.jpg;natura;Moderate;Intimate;Unissex;;;
17202;https://www.fragrantica.com/perfume/natura/jabuticaba-26060.html;jabuticaba;natura;Brazil;women;412;400;20080.0;jabuticaba, bergamot, apple;jasmine, lily-of-the-valley, cinnamon;musk, cedar;unknown;;white floral;musky;fruity;citrus;fresh;downloaded_images\17202_jabuticaba.jpg;natura;Very Weak;Intimate;Feminino;;;
17203;https://www.fragrantica.com/perfume/natura/volume-2-26041.html;volume-2;natura;Brazil;women;412;94;20080.0;cardamom, bergamot, mandarin orange;rose, lily-of-the-valley, jasmine;musk, sandalwood, cedar;unknown;;rose;white floral;woody;citrus;warm spicy;downloaded_images\17203_volume_2.jpg;natura;Moderate;Moderate;Feminino;;;
17204;https://www.fragrantica.com/perfume/natura/x-34187.html;x;natura;Brazil;women;412;66;20080.0;bergamot, rose, cassis, green mandarin;green notes, lily-of-the-valley, jasmine, rose, violet;musk, cedar, vanilla, sandalwood, vetiver;ver�nica kato;;green;woody;white floral;powdery;aromatic;downloaded_images\17204_x.jpg;natura;Moderate;Moderate;Feminino;;;
17205;https://www.fragrantica.com/perfume/natura/humor-a-vista-52713.html;humor-a-vista;natura;Brazil;men;412;179;20180.0;ginger, lemon, mint, grapefruit, juniper, mandarin orange, cardamom;vetiver, jasmine, sandalwood, lavender;musk, patchouli, leather, amber, labdanum;unknown;;citrus;aromatic;warm spicy;woody;fresh spicy;downloaded_images\17205_humor_a_vista.jpg;natura;Moderate;Moderate;Masculino;;;
17206;https://www.fragrantica.com/perfume/natura/luna-fascinante-59022.html;luna-fascinante;natura;Brazil;women;412;241;20200.0;tropical fruits, floral notes, freesia;violet, jasmine sambac;patchouli, pataqueira, woodsy notes;ver�nica kato;;floral;woody;violet;tropical;patchouli;downloaded_images\17206_luna_fascinante.jpg;natura;Moderate;Moderate;Feminino;;;
17207;https://www.fragrantica.com/perfume/natura/copaiba-34407.html;copaiba;natura;Brazil;men;412;161;20150.0;spicy notes, elemi resin, methyl pamplemousse, bergamot, clementine, lemon;java vetiver oil, atlas cedar;copaiba balm, vetiver, oily notes, musk, sandalowood, leather, labdanum;ver�nica kato;;woody;balsamic;citrus;aromatic;warm spicy;downloaded_images\17207_copaiba.jpg;natura;Moderate;Moderate;Masculino;;;
17208;https://www.fragrantica.com/perfume/o-boticario/femme-com-7296.html;femme-com;o-boticario;Brazil;women;412;296;19990.0;cassis, plum, mandarin orange, bergamot;peony, orange blossom, ylang-ylang;amber, vanille, cedar, musk;unknown;;floral;fresh;fruity;citrus;sweet;downloaded_images\17208_femme_com.jpg;o-boticario;Moderate;Moderate;Feminino;;;
17209;https://www.fragrantica.com/perfume/o-boticario/royalty-7342.html;royalty;o-boticario;Brazil;women;412;210;;bergamot, mandarin orange, orchid, freesia;iris, floral notes, jasmine;vanille, sandalwood, virginia cedar, amber, musk;unknown;;powdery;floral;woody;citrus;vanilla;downloaded_images\17209_royalty.jpg;o-boticario;Moderate;Moderate;Feminino;;;
