id;url;Perfume;Brand;Country;Gender;RatingValue;RatingCount;releaseYear;PerfumeTop;PerfumeMiddle;PerfumeBase;Perfumer1;Perfumer2;MainAccord1;MainAccord2;MainAccord3;MainAccord4;MainAccord5;caminho_imagem_local;Perfumes-seletos
10212;https://www.fragrantica.com/perfume/o-boticario/egeo-free-fire-85053.html;egeo-free-fire;o-boticario;Brazil;unisex;392;118;20230.0;apricot, lemon, rhubarb;peony, magnolia, cedar;vanilla, musk, patchouli;frank voelkl;;fruity;powdery;vanilla;citrus;sweet;downloaded_images\10212_egeo_free_fire.jpg;o-boticario
10213;https://www.fragrantica.com/perfume/o-boticario/floratta-simple-love-66480.html;floratta-simple-love;o-boticario;Brazil;women;392;169;20210.0;peach, bergamot, red fruits, mandarin orange, grapefruit;lily-of-the-valley, magnolia, rose, tuberose;musk, patchouli, amber, almond, vanilla, labdanum;napole�o bastos;;citrus;floral;fruity;musky;white floral;downloaded_images\10213_floratta_simple_love.jpg;o-boticario
10214;https://www.fragrantica.com/perfume/o-boticario/lily-lumiere-74072.html;lily-lumiere;o-boticario;Brazil;women;392;420;20220.0;neroli, bergamot, mandarin orange, pink pepper;orange blossom, osmanthus;vanilla, amber, sandalwood, patchouli, praline;unknown;;citrus;white floral;sweet;woody;vanilla;downloaded_images\10214_lily_lumiere.jpg;o-boticario
10215;https://www.fragrantica.com/perfume/o-boticario/linda-na-danca-33550.html;linda-na-danca;o-boticario;Brazil;women;392;48;20140.0;bamboo leaf, grapefruit, violet leaves, bergamot;gardenia, freesia, jasmine, pink pepper, fruits, raspberry, anise, tiare flower;amber, cedar, musk, sandalwood, benzoin, tonka bean;jacques cavallier;;white floral;woody;amber;citrus;sweet;downloaded_images\10215_linda_na_danca.jpg;o-boticario
10216;https://www.fragrantica.com/perfume/o-boticario/aguas-de-ameixa-35754.html;aguas-de-ameixa;o-boticario;Brazil;women;392;64;20130.0;marzipan, red fruits, plum, cassis, bergamot, peach;spicy notes, heliotrope, jasmine, iris, rose, lily-of-the-valley;amber, vanilla, sandalowood, musk, vetiver;unknown;;fruity;sweet;powdery;warm spicy;woody;downloaded_images\10216_aguas_de_ameixa.jpg;o-boticario
10221;https://www.fragrantica.com/perfume/prada/prada-la-femme-water-splash-54676.html;prada-la-femme-water-splash;prada;Italy;women;392;101;20190.0;mandarin orange, mandarin leaf;frangipani, lily-of-the-valley, magnolia;green accord, sandalwood;daniela (roche) andrier;;floral;citrus;green;white floral;tropical;downloaded_images\10221_prada_la_femme_water_splash.jpg;prada
10247;https://www.fragrantica.com/perfume/yves-saint-laurent/rive-gauche-96.html;rive-gauche;yves-saint-laurent;France;women;392;4114;19710.0;aldehydes, green notes, honeysuckle, bergamot, peach, lemon;rose, iris, geranium, ylang-ylang, lily-of-the-valley, jasmine, magnolia, gardenia;oakmoss, tahitian vetiver, musk, sandalwood, tonka bean, amber;unknown;;aldehydic;white floral;woody;earthy;fresh;downloaded_images\10247_rive_gauche.jpg;yves-saint-laurent
10352;https://www.fragrantica.com/perfume/nuancielo/majesty-72574.html;majesty;nuancielo;Brazil;women;392;26;20200.0;patchouli, green apple, violet, sicilian lemon, pink pepper, bergamot;musk, sandalwood, rose, styrax;amber, cassis, black currant, peach, lilac, ylang-ylang;unknown;;woody;fruity;powdery;musky;patchouli;downloaded_images\10352_majesty.jpg;nuancielo
10353;https://www.fragrantica.com/perfume/nuancielo/ville-61580.html;ville;nuancielo;Brazil;men;392;36;20170.0;green notes, spices, bergamot, lavender, petitgrain, grapefruit;ginger, violet, sage, gardenia;vetiver, sandalowood, musk, guaiac wood, incense, labdanum;unknown;;warm spicy;citrus;aromatic;green;woody;downloaded_images\10353_ville.jpg;nuancielo
10439;https://www.fragrantica.com/perfume/al-haramain-perfumes/noora-19828.html;noora;al-haramain-perfumes;UAE;unisex;393;513;;big strawberry, plum, saffron, mandarin orange, ginger, orange;ylang-ylang, tuberose, rose, jasmine, lily, iris, hyacinth;honey, vanilla, sandalwood, dark chocolate, agarwood (oud), musk, amber, patchouli;unknown;;sweet;fruity;warm spicy;powdery;honey;downloaded_images\10439_noora.jpg;al-haramain-perfumes
10466;https://www.fragrantica.com/perfume/carolina-herrera/aquaflore-290.html;aquaflore;carolina-herrera;USA;women;393;116;19970.0;melon, violet, peach, mandarin orange;cyclamen, jasmine, rose, lily-of-the-valley;orris root, sandalwood, amber, musk;carlos benaim;rosendo mateu;powdery;white floral;floral;fresh;fruity;downloaded_images\10466_aquaflore.jpg;carolina-herrera
10467;https://www.fragrantica.com/perfume/carolina-herrera/212-vip-black-ny-79162.html;212-vip-black-ny;carolina-herrera;USA;men;393;120;20230.0;grapefruit, cardamom;lavender, absinthe;coffee, vetiver;unknown;;coffee;warm spicy;aromatic;lavender;fresh spicy;downloaded_images\10467_212_vip_black_ny.jpg;carolina-herrera
10468;https://www.fragrantica.com/perfume/carolina-herrera/ch-insignia-50016.html;ch-insignia;carolina-herrera;USA;women;393;67;20180.0;saffron, nutmeg, bergamot, coriander;leather, rose, agarwood (oud), styrax;incense, amber, cedar, patchouli, guaiac wood;hamid merati-kashani;olivier cresp;amber;leather;warm spicy;woody;smoky;downloaded_images\10468_ch_insignia.jpg;carolina-herrera
10482;https://www.fragrantica.com/perfume/dior/l-or-j-adore-the-absolute-perfume-211.html;l-or-j-adore-the-absolute-perfume;dior;France;women;393;108;20070.0;sweet pea, peony;magnolia, champaca, violet;musk;unknown;;floral;sweet;fresh;musky;;downloaded_images\10482_l_or_j_adore_the_absolute_perfume.jpg;dior
